algo;n;ms
FredmanTarjan;8100;111.88
FredmanTarjan;8200;117.996
FredmanTarjan;8300;119.587
FredmanTarjan;8400;123.041
FredmanTarjan;8500;122.417
FredmanTarjan;8600;125.208
FredmanTarjan;8700;128.326
FredmanTarjan;8800;129.065
FredmanTarjan;8900;131.097
FredmanTarjan;9000;132.327
FredmanTarjan;9100;134.401
FredmanTarjan;9200;133.262
FredmanTarjan;9300;135.965
FredmanTarjan;9400;131.087
FredmanTarjan;9500;133.128
FredmanTarjan;9600;143.03
FredmanTarjan;9700;144.366
FredmanTarjan;9800;142.363
FredmanTarjan;9900;141.588
FredmanTarjan;10000;143.087
Chazelle;100;0.154316
Chazelle;200;0.389076
Chazelle;300;0.634847
Chazelle;400;0.942402
Chazelle;500;1.25484
Chazelle;600;1.51533
Chazelle;700;1.9142
Chazelle;800;2.20256
Chazelle;900;2.56733
Chazelle;1000;2.8959
Chazelle;1100;3.27623
Chazelle;1200;3.79465
Chazelle;1300;4.09271
Chazelle;1400;4.64136
Chazelle;1500;4.79951
Chazelle;1600;5.24843
Chazelle;1700;5.75486
Chazelle;1800;6.13318
Chazelle;1900;6.54943
Chazelle;2000;7.0074
Chazelle;2100;7.37915
Chazelle;2200;8.53536
Chazelle;2300;9.0149
Chazelle;2400;9.63977
Chazelle;2500;10.2687
Chazelle;2600;10.8114
Chazelle;2700;11.4445
Chazelle;2800;12.2384
Chazelle;2900;14.1925
Chazelle;3000;14.1683
Chazelle;3100;14.4771
Chazelle;3200;15.6991
Chazelle;3300;18.0977
Chazelle;3400;17.8893
Chazelle;3500;18.2743
Chazelle;3600;18.2842
Chazelle;3700;19.3515
Chazelle;3800;19.3412
Chazelle;3900;22.7329
Chazelle;4000;24.6865
Chazelle;4100;26.9014
Chazelle;4200;23.7758
Chazelle;4300;25.3172
Chazelle;4400;26.6577
Chazelle;4500;31.3999
Chazelle;4600;31.6758
Chazelle;4700;32.6952
Chazelle;4800;29.4233
Chazelle;4900;29.6758
Chazelle;5000;31.6717
Chazelle;5100;33.071
Chazelle;5200;34.4716
Chazelle;5300;34.4796
Chazelle;5400;36.0676
Chazelle;5500;36.7206
Chazelle;5600;41.6274
Chazelle;5700;40.594
Chazelle;5800;39.7656
Chazelle;5900;41.5693
Chazelle;6000;42.4057
Chazelle;6100;44.7451
Chazelle;6200;47.0896
Chazelle;6300;78.2242
Chazelle;6400;58.3454
Chazelle;6500;58.4266
Chazelle;6600;55.3771
Chazelle;6700;52.6825
Chazelle;6800;59.2313
Chazelle;6900;54.6425
Chazelle;7000;56.0372
Chazelle;7100;58.5073
Chazelle;7200;60.0108
Chazelle;7300;60.2672
Chazelle;7400;69.701
Chazelle;7500;72.9556
Chazelle;7600;70.2894
Chazelle;7700;67.3254
Chazelle;7800;67.596
Chazelle;7900;66.8036
Chazelle;8000;68.6336
Chazelle;8100;69.7693
Chazelle;8200;71.241
Chazelle;8300;78.4784
Chazelle;8400;85.6826
Chazelle;8500;84.4896
Chazelle;8600;89.3509
Chazelle;8700;83.0121
Chazelle;8800;88.1183
Chazelle;8900;97.8387
Chazelle;9000;99.9464
Chazelle;9100;94.8041
Chazelle;9200;96.5228
Chazelle;9300;103.809
Chazelle;9400;96.9571
Chazelle;9500;112.399
Chazelle;9600;112.11
Chazelle;9700;101.015
Chazelle;9800;125.772
Chazelle;9900;123.915
Chazelle;10000;135.801
